,name,number,average_age,sex
6626,esaul,106,29.1,M
6627,francisco benito,106,54.2,M
6628,iker david,106,8.9,M
6629,jaroslav,106,43.3,M
6630,javier adrian,106,28.9,M
6631,javier arturo,106,39.7,M
6632,jing,106,32.5,M
6633,joao antonio,106,48.3,M
6634,joaquin daniel,106,39.5,M
6635,joaquin tomas,106,46.3,M
6636,jorge oswaldo,106,45.6,M
6637,jorge victor,106,46.4,M
6638,lenny,106,12.5,M
6639,luis elias,106,46.8,M
6640,luis omar,106,37.6,M
6641,lyes,106,39.7,M
6642,manuel gustavo,106,48.0,M
6643,mario ruben,106,40.4,M
6644,martin sebastian,106,32.6,M
6645,mitxel,106,32.8,M
6646,mouaad,106,15.3,M
6647,regulo,106,62.8,M
6648,sambou,106,36.5,M
6649,saverio,106,45.6,M
6650,sebastian eduardo,106,29.4,M
6651,sergio angel,106,37.6,M
6652,sergio pablo,106,40.8,M
6653,tomas carlos,106,49.1,M
6654,ye,106,29.5,M
6655,abraham jesus,105,24.1,M
6656,alejandrino,105,68.1,M
6657,alexandros,105,25.6,M
6658,brayan steven,105,21.9,M
6659,carlos moises,105,37.3,M
6660,chedey,105,25.7,M
6661,cristian rafael,105,27.3,M
6662,david paul,105,47.9,M
6663,dionisio jose,105,50.8,M
6664,edu,105,8.4,M
6665,elisei,105,15.2,M
6666,ervin,105,38.7,M
6667,eyad,105,8.0,M
6668,fabrice,105,38.8,M
6669,fanica,105,48.1,M
6670,federico martin,105,34.4,M
6671,gabriel sebastian,105,23.1,M
6672,gelasio,105,67.1,M
6673,geovanny,105,32.2,M
6674,heitor,105,16.4,M
6675,heli,105,51.2,M
6676,hong,105,36.4,M
6677,ignacio pedro,105,47.5,M
6678,ilies,105,15.5,M
6679,isacio,105,69.9,M
6680,ivan fernando,105,34.2,M
6681,jahangir,105,35.5,M
6682,james alexander,105,33.7,M
6683,jean baptiste,105,41.5,M
6684,jesus yeray,105,32.2,M
6685,joao vitor,105,19.4,M
6686,jordi ramon,105,45.6,M
6687,jorge felipe,105,42.2,M
6688,jose amado,105,54.3,M
6689,juan ramiro,105,53.4,M
6690,julio tomas,105,48.8,M
6691,kalin,105,36.6,M
6692,kilian jose,105,19.9,M
6693,libardo,105,53.9,M
6694,loris,105,33.2,M
6695,luis borja,105,33.8,M
6696,mahamadu,105,14.3,M
6697,manuel roman,105,50.0,M
6698,martin david,105,36.1,M
6699,matthew john,105,39.8,M
6700,mindaugas,105,36.1,M
6701,mohamed el amine,105,23.8,M
6702,nasr eddine,105,27.5,M
6703,nicolas juan,105,40.4,M
6704,oscar adrian,105,24.6,M
6705,pedro adolfo,105,51.8,M
6706,rafael eugenio,105,50.4,M
6707,ruy,105,17.1,M
6708,stefan daniel,105,19.8,M
6709,steffen,105,43.1,M
6710,sufyan,105,23.7,M
6711,taher,105,42.3,M
6712,teofil,105,44.0,M
6713,tyler,105,6.8,M
6714,zhiwei,105,30.1,M
6715,zsolt,105,39.3,M
6716,aldemar,104,47.7,M
6717,amor,104,55.9,M
6718,anselmo jose,104,51.3,M
6719,antonio mateo,104,43.4,M
6720,baldiri,104,55.1,M
6721,barry john,104,67.1,M
6722,desmond,104,34.9,M
6723,edwin jose,104,33.4,M
6724,emerenciano,104,71.6,M
6725,enrique santiago,104,51.0,M
6726,federico miguel,104,45.7,M
6727,fernando oscar,104,49.0,M
6728,francisco cesar,104,49.1,M
6729,grigor,104,39.8,M
6730,gurdeep,104,31.9,M
6731,heinrich,104,68.9,M
6732,hovhannes,104,37.6,M
6733,itamar,104,27.9,M
6734,izai,104,12.3,M
6735,javier alonso,104,36.1,M
6736,jesus matias,104,48.0,M
6737,jianxin,104,43.4,M
6738,jiayi,104,15.1,M
6739,jose anastasio,104,54.2,M
6740,jozsef,104,49.6,M
6741,marcos eduardo,104,36.1,M
6742,miguel ernesto,104,41.1,M
6743,mohamed karim,104,26.8,M
6744,mouhamadou moustapha,104,27.1,M
6745,najem,104,40.4,M
6746,oreste,104,52.4,M
6747,pablo ernesto,104,38.6,M
6748,pedro valentin,104,50.1,M
6749,prisciliano,104,72.1,M
6750,rehan,104,16.9,M
6751,robert george,104,48.4,M
6752,santiago agustin,104,35.8,M
6753,santiago alfonso,104,44.6,M
6754,silviano,104,67.5,M
6755,simon john,104,49.8,M
6756,tomas juan,104,53.5,M
6757,vasile marius,104,37.1,M
6758,yoseba,104,36.1,M
6759,adda,103,42.1,M
6760,adrian eduardo,103,25.6,M
6761,adrian marius,103,32.6,M
6762,adrian nicolas,103,14.9,M
6763,alejandro agustin,103,33.8,M
6764,alexandru marius,103,27.6,M
6765,alfredo juan,103,52.0,M
6766,amadou tidiane,103,34.2,M
6767,andres pedro,103,53.1,M
6768,angel adolfo,103,51.6,M
6769,antonio abel,103,41.6,M
6770,arlindo,103,57.1,M
6771,armando luis,103,53.2,M
6772,aythamy,103,20.2,M
6773,bernardo francisco,103,52.2,M
6774,blas miguel,103,50.1,M
6775,brandan,103,19.2,M
6776,carlos fermin,103,46.3,M
6777,carmelo francisco,103,51.0,M
6778,cesar gabriel,103,27.4,M
6779,edgar javier,103,32.5,M
6780,edmond,103,41.5,M
6781,el houssein,103,45.5,M
6782,gang,103,41.1,M
6783,gedeon,103,19.7,M
6784,gines antonio,103,50.9,M
6785,hai,103,39.0,M
6786,houssine,103,37.6,M
6787,javier daniel,103,33.5,M
6788,joan carlos,103,38.7,M
6789,jorge hugo,103,48.0,M
6790,jose cipriano,103,56.8,M
6791,jose jacobo,103,42.3,M
6792,karin,103,33.2,M
6793,kevin paul,103,33.0,M
6794,kian,103,10.2,M
6795,liyong,103,41.4,M
6796,llorens,103,52.0,M
6797,luis cristobal,103,46.6,M
6798,luis jacinto,103,52.1,M
6799,makhtar,103,37.2,M
6800,marco david,103,26.5,M
6801,mariano alberto,103,47.1,M
6802,melecio,103,67.6,M
6803,michael robert,103,56.2,M
6804,miguel felix,103,55.8,M
6805,miguel gabriel,103,38.5,M
6806,omar andres,103,29.4,M
6807,orlando javier,103,43.4,M
6808,paul james,103,52.1,M
6809,pedro augusto,103,38.8,M
6810,pedro samuel,103,29.9,M
6811,peter anthony,103,59.9,M
6812,rabi,103,32.8,M
6813,rafael gabriel,103,35.1,M
6814,rafael julian,103,52.0,M
6815,raimond,103,46.7,M
6816,ramon rafael,103,53.9,M
6817,raul oscar,103,54.3,M
6818,ricardo arturo,103,40.1,M
6819,roberto gabriel,103,30.8,M
6820,sebastian andrei,103,10.2,M
6821,sergio tomas,103,37.5,M
6822,sidiki,103,34.4,M
6823,suhar,103,6.9,M
6824,yossef,103,17.1,M
6825,zakarya,103,16.9,M
6826,alexis daniel,102,23.6,M
6827,alvaro eduardo,102,31.7,M
6828,andras,102,41.3,M
6829,aren,102,5.9,M
6830,baljit,102,38.2,M
6831,braulio jose,102,43.5,M
6832,carlos matias,102,36.2,M
6833,cesar gustavo,102,42.0,M
6834,cristo david,102,32.5,M
6835,daniel steven,102,18.2,M
6836,david andrew,102,53.1,M
6837,deivid,102,12.6,M
6838,dionicio,102,49.3,M
6839,dylan gabriel,102,5.5,M
6840,eduardo martin,102,41.1,M
6841,federico nicolas,102,29.8,M
6842,fiz,102,14.3,M
6843,friday,102,42.0,M
6844,gonzalo enrique,102,38.9,M
6845,hasier,102,24.4,M
6846,hugo luis,102,36.7,M
6847,iuri,102,25.3,M
6848,james robert,102,46.5,M
6849,joaquin emilio,102,51.6,M
6850,johan david,102,17.9,M
6851,jorge diego,102,39.9,M
6852,jose saul,102,36.5,M
6853,juan ventura,102,52.5,M
6854,manuel isaac,102,41.6,M
6855,marcos ivan,102,34.9,M
6856,mickael,102,26.9,M
6857,mostefa,102,50.3,M
6858,ndiaye,102,38.5,M
6859,nicolas ignacio,102,27.1,M
6860,octavio manuel,102,45.1,M
6861,oscar maria,102,46.8,M
6862,pedro ernesto,102,47.1,M
6863,rafael guillermo,102,45.5,M
6864,ricardo alfredo,102,47.9,M
6865,romain,102,31.8,M
6866,ruben enrique,102,39.3,M
6867,sadurni,102,54.3,M
6868,santiago joaquin,102,42.8,M
6869,sasho,102,41.6,M
6870,sergio ruben,102,40.5,M
6871,siarhei,102,45.0,M
6872,sidney,102,40.8,M
6873,xisco,102,12.7,M
6874,yusupha,102,33.9,M
6875,zixuan,102,8.3,M
6876,alejandro santiago,101,38.2,M
6877,aleksandre,101,30.9,M
6878,aleksandrs,101,41.4,M
6879,angel ernesto,101,43.5,M
6880,angel gonzalo,101,48.9,M
6881,anselm,101,57.3,M
6882,antoni joan,101,38.1,M
6883,antonio aurelio,101,52.4,M
6884,austin,101,28.3,M
6885,cesar humberto,101,43.5,M
6886,daniel agustin,101,33.6,M
6887,daniel mihai,101,25.5,M
6888,david ivan,101,35.8,M
6889,denis alexandru,101,11.1,M
6890,ernesto miguel,101,46.3,M
6891,fabio antonio,101,34.9,M
6892,gabriel nicolas,101,21.5,M
6893,ganix,101,18.6,M
6894,german eduardo,101,42.4,M
6895,gustavo alfredo,101,44.7,M
6896,hector juan,101,37.9,M
6897,irinel,101,36.6,M
6898,ivano,101,45.4,M
6899,joel manuel,101,21.6,M
6900,jose alejo,101,51.1,M
6901,jose efrain,101,42.0,M
6902,kalilou,101,34.7,M
6903,kennedy,101,38.5,M
6904,kevin alberto,101,20.5,M
6905,konrad,101,31.9,M
6906,leandre,101,51.8,M
6907,mahmood,101,46.2,M
6908,manuel jeronimo,101,51.1,M
6909,miguel ivan,101,35.4,M
6910,nuno filipe,101,36.4,M
6911,oscar felipe,101,38.5,M
6912,pablo carlos,101,45.7,M
6913,pablo ruben,101,38.0,M
6914,parminder,101,33.7,M
6915,pedro gonzalo,101,51.8,M
6916,rafael ivan,101,36.4,M
6917,rafael martin,101,44.6,M
6918,raul luis,101,46.0,M
6919,reinaldo jose,101,40.1,M
6920,rio,101,7.4,M
6921,ruiman,101,33.8,M
6922,sofyan,101,18.3,M
6923,soufyan,101,19.7,M
6924,ursicino,101,71.6,M
6925,xiaoyong,101,40.4,M
6926,abdelouafi,100,40.6,M
6927,alex eduardo,100,28.2,M
6928,anton maria,100,53.7,M
6929,antonio adolfo,100,50.0,M
6930,badara,100,38.1,M
6931,bakr,100,12.6,M
6932,billal,100,22.2,M
6933,brahima,100,34.5,M
6934,cesar julio,100,49.9,M
6935,cesario,100,61.1,M
6936,daniel elias,100,29.3,M
6937,danish,100,20.7,M
6938,davyd,100,13.4,M
6939,edgar andres,100,29.7,M
6940,edilson,100,40.5,M
6941,erick david,100,18.2,M
6942,evgeni,100,41.5,M
6943,favio,100,24.0,M
6944,franklin eduardo,100,35.3,M
6945,german alberto,100,44.1,M
6946,hans dieter,100,71.3,M
6947,hua,100,39.0,M
6948,ibrahima sory,100,31.8,M
6949,icaro,100,19.4,M
6950,ignacio daniel,100,36.6,M
6951,jaime arturo,100,46.6,M
6952,jesus isidro,100,54.2,M
6953,jesus samuel,100,33.2,M
6954,jhonny alexander,100,26.6,M
6955,joel jose,100,22.3,M
6956,jose antolin,100,56.9,M
6957,jose joel,100,23.1,M
6958,jose placido,100,56.7,M
6959,josep antonio,100,61.0,M
6960,juan paulino,100,54.3,M
6961,leonardo alberto,100,37.9,M
6962,llatzer,100,33.5,M
6963,luis beltran,100,45.1,M
6964,manuel mateo,100,46.8,M
6965,marian ionut,100,26.8,M
6966,martino,100,29.0,M
6967,mateo jesus,100,34.1,M
6968,michael george,100,65.4,M
6969,nelson manuel,100,37.7,M
6970,pedro carmelo,100,57.3,M
6971,rafael esteban,100,47.4,M
6972,roberto mario,100,42.2,M
6973,rochdi,100,29.5,M
6974,ronnie,100,35.6,M
6975,sahil,100,19.4,M
6976,salah eddin,100,14.7,M
6977,tamas,100,39.1,M
6978,terence john,100,68.0,M
6979,vicent josep,100,46.4,M
6980,vicente pablo,100,52.5,M
6981,victor martin,100,40.8,M
6982,xandre,100,6.8,M
6983,zhihao,100,19.8,M
6984,alejandro esteban,99,35.5,M
6985,alin constantin,99,30.6,M
6986,andres martin,99,39.3,M
6987,angel matias,99,38.5,M
6988,angel valentin,99,43.4,M
6989,antonello,99,43.3,M
6990,artak,99,38.3,M
6991,arturo alejandro,99,31.5,M
6992,bangaly,99,31.3,M
6993,brian alexander,99,21.3,M
6994,bryan alexis,99,19.9,M
6995,carlos israel,99,35.7,M
6996,carlos leonardo,99,36.1,M
6997,constantin marius,99,36.6,M
6998,cristian paul,99,26.3,M
6999,cristobal miguel,99,45.2,M
7000,david pablo,99,40.6,M
7001,dawei,99,30.0,M
7002,el madani,99,45.4,M
7003,elias antonio,99,46.9,M
7004,ernesto francisco,99,48.8,M
7005,fabien,99,34.5,M
7006,fatah,99,43.1,M
7007,fousseyni,99,36.8,M
7008,francisco santos,99,54.1,M
7009,francisco simon,99,46.2,M
7010,franklin jose,99,36.2,M
7011,freddy jose,99,39.3,M
7012,georgica,99,41.4,M
7013,ignacio gabriel,99,37.1,M
7014,ivan gabriel,99,22.8,M
7015,jaroslaw,99,44.8,M
7016,jasvir,99,37.0,M
7017,jhoel,99,12.0,M
7018,jon koldobika,99,49.4,M
7019,jose genaro,99,54.4,M
7020,jose hugo,99,44.5,M
7021,julio gabriel,99,41.2,M
7022,just,99,50.2,M
7023,karol,99,31.2,M
7024,kepa mirena,99,54.6,M
7025,luis isidro,99,52.6,M
7026,manuel cruz,99,54.9,M
7027,marcos adrian,99,20.4,M
7028,mario adrian,99,22.3,M
7029,nicolas agustin,99,27.6,M
7030,nilson,99,41.8,M
7031,qaiser,99,38.5,M
7032,razvan gabriel,99,19.7,M
7033,richard antonio,99,34.9,M
7034,stan,99,49.9,M
7035,tsvetomir,99,30.9,M
7036,zhivko,99,41.2,M
7037,ababacar,98,34.4,M
7038,adrian mihai,98,26.6,M
7039,alejandro ivan,98,34.3,M
7040,alfredo angel,98,53.2,M
7041,andranik,98,38.6,M
7042,andrei catalin,98,20.3,M
7043,andres fabian,98,34.5,M
7044,astor,98,18.2,M
7045,augusto manuel,98,49.0,M
7046,baraa,98,4.4,M
7047,carles albert,98,42.5,M
7048,carlos henrique,98,31.6,M
7049,carlos orlando,98,43.5,M
7050,cesar alfredo,98,43.8,M
7051,cristian fabian,98,30.7,M
7052,dacio,98,60.3,M
7053,daniel humberto,98,38.0,M
7054,david edward,98,59.3,M
7055,david jonathan,98,35.7,M
7056,dayan,98,18.0,M
7057,edison patricio,98,36.7,M
7058,el yazid,98,40.3,M
7059,eloy antonio,98,46.5,M
7060,eric daniel,98,16.0,M
7061,ezio,98,37.2,M
7062,gagandeep,98,25.9,M
7063,gerardo francisco,98,49.5,M
7064,igotz,98,23.5,M
7065,iker alejandro,98,9.3,M
7066,iñigo jose,98,39.3,M
7067,jalid,98,28.8,M
7068,jaspal,98,37.9,M
7069,javier salvador,98,40.6,M
7070,jhon henry,98,30.3,M
7071,joao luis,98,39.9,M
7072,jordi albert,98,37.3,M
7073,jorge elias,98,41.9,M
7074,juan gustavo,98,43.4,M
7075,julio joaquin,98,48.9,M
7076,justo luis,98,60.4,M
7077,keita,98,31.1,M
7078,klaus peter,98,69.1,M
7079,lucas francisco,98,26.9,M
7080,luis abel,98,46.0,M
7081,luis vidal,98,46.7,M
7082,mario augusto,98,51.6,M
7083,mario ricardo,98,42.5,M
7084,mateo nicolas,98,11.3,M
7085,mauro antonio,98,39.0,M
7086,nasar,98,36.4,M
7087,nolasco,98,42.8,M
7088,octavio jesus,98,48.4,M
7089,orion,98,7.7,M
7090,oswaldo jose,98,38.4,M
7091,publio,98,66.5,M
7092,rafael felipe,98,48.8,M
7093,rakesh,98,39.8,M
7094,roberto nicolas,98,29.3,M
7095,rodrigo nicolas,98,23.5,M
7096,samuel eduardo,98,23.2,M
7097,sandy,98,35.2,M
7098,thiago alexander,98,3.8,M
7099,tino,98,26.2,M
7100,tomas rafael,98,50.1,M
7101,waleed,98,22.2,M
7102,zaki,98,34.2,M
7103,zhiyong,98,40.8,M
7104,adrian enrique,97,25.0,M
7105,alberto pablo,97,42.7,M
7106,alexandru catalin,97,23.0,M
7107,alvaro vicente,97,35.4,M
7108,amat,97,27.0,M
7109,andrei mihai,97,22.4,M
7110,andres emilio,97,42.2,M
7111,arai,97,5.4,M
7112,asencio,97,60.0,M
7113,da,97,29.4,M
7114,daniel augusto,97,35.0,M
7115,danny alexander,97,23.9,M
7116,diego ariel,97,34.4,M
7117,dinu,97,44.4,M
7118,dylan david,97,6.1,M
7119,edwin alejandro,97,25.4,M
7120,emilio pedro,97,58.9,M
7121,etor,97,38.4,M
7122,felipe ramon,97,52.2,M
7123,felix santiago,97,56.4,M
7124,fernando esteban,97,47.2,M
7125,gabriel alfonso,97,34.0,M
7126,gustavo fabian,97,44.5,M
7127,haimar,97,15.6,M
7128,hamsa,97,19.3,M
7129,hani,97,33.3,M
7130,isidro miguel,97,51.9,M
7131,ismael francisco,97,35.4,M
7132,jacinto jesus,97,49.0,M
7133,jayson,97,25.9,M
7134,jefferson alexander,97,21.8,M
7135,john frederick,97,70.5,M
7136,jordy,97,21.4,M
7137,juan benigno,97,56.4,M
7138,juan justo,97,54.0,M
7139,julio roberto,97,49.4,M
7140,kissima,97,40.8,M
7141,liwei,97,37.4,M
7142,marcelo gabriel,97,42.5,M
7143,marian cristian,97,30.2,M
7144,marian daniel,97,30.9,M
7145,mehmet,97,42.2,M
7146,momar,97,39.6,M
7147,nabor,97,54.1,M
7148,orlando antonio,97,47.7,M
7149,pablo german,97,40.2,M
7150,raul ignacio,97,42.5,M
7151,rudi,97,39.7,M
7152,saddik,97,44.4,M
7153,segundo francisco,97,50.6,M
7154,sergio esteban,97,34.5,M
7155,sidahmed,97,33.0,M
7156,sidi ahmed,97,42.4,M
7157,stefan adrian,97,25.9,M
7158,vicente raul,97,43.8,M
7159,victor pedro,97,46.4,M
7160,afonso,96,31.0,M
7161,alatz,96,19.7,M
7162,aleksey,96,25.5,M
7163,alexandru vasile,96,26.8,M
7164,alvaro santiago,96,31.5,M
7165,amr,96,21.2,M
7166,antonio lucas,96,42.8,M
7167,arfang,96,36.9,M
7168,arnaldo andres,96,33.2,M
7169,blas francisco,96,53.5,M
7170,carlos rodolfo,96,49.9,M
7171,cesar adrian,96,27.5,M
7172,cesar arturo,96,38.8,M
7173,charaf eddine,96,21.4,M
7174,cheickne,96,34.8,M
7175,cristian enrique,96,27.6,M
7176,cristobal david,96,32.5,M
7177,daljit,96,35.7,M
7178,daniel armando,96,33.1,M
7179,edgar david,96,26.8,M
7180,esteban daniel,96,34.3,M
7181,eufemiano,96,68.4,M
7182,francisco isaac,96,40.0,M
7183,gian franco,96,29.1,M
7184,gilberto jose,96,44.0,M
7185,gines francisco,96,43.1,M
7186,gonzalo juan,96,45.3,M
7187,hamadou,96,34.9,M
7188,hector mario,96,47.9,M
7189,jaime angel,96,46.6,M
7190,javier gonzalo,96,41.7,M
7191,joan salvador,96,46.0,M
7192,jorge eugenio,96,46.5,M
7193,jose ambrosio,96,58.2,M
7194,kyle,96,12.8,M
7195,malek,96,30.9,M
7196,mamuka,96,41.0,M
7197,martin alonso,96,36.0,M
7198,mauro jose,96,36.4,M
7199,mijail,96,21.3,M
7200,milton cesar,96,40.3,M
7201,monday,96,42.7,M
7202,mugurel,96,40.1,M
7203,pardeep,96,31.1,M
7204,pascual francisco,96,52.9,M
7205,paul william,96,55.7,M
7206,pedro german,96,47.0,M
7207,rabii,96,34.9,M
7208,ramiro antonio,96,53.0,M
7209,raul nicolas,96,19.3,M
7210,razvan andrei,96,16.3,M
7211,richard anthony,96,52.1,M
7212,rober,96,21.4,M
7213,rodrigo martin,96,30.4,M
7214,rogelio manuel,96,51.0,M
7215,santos jose,96,49.8,M
7216,sergio ignacio,96,36.7,M
7217,sergio martin,96,34.8,M
7218,sergio ricardo,96,40.7,M
7219,soren,96,23.4,M
7220,suhail,96,13.4,M
7221,urki,96,15.6,M
7222,victor nicolas,96,28.2,M
7223,wang,96,34.7,M
7224,xenxo,96,17.0,M
7225,abdoul karim,95,31.1,M
7226,aimane,95,17.6,M
7227,aketx,95,11.1,M
7228,aladji,95,39.8,M
7229,alfonso ignacio,95,46.0,M
7230,alvin,95,28.4,M
7231,amrik,95,40.4,M
7232,angel benigno,95,52.1,M
7233,angel moises,95,37.6,M
7234,avtar,95,41.5,M
7235,christian antonio,95,28.5,M
7236,christopher michael,95,44.0,M
7237,collins,95,36.3,M
7238,cristhian alexander,95,22.6,M
7239,david valentin,95,22.4,M
7240,deniz,95,17.5,M
7241,edouard,95,38.8,M
7242,emilio daniel,95,39.1,M
7243,german david,95,33.4,M
7244,ghazanfar,95,43.8,M
7245,henrry,95,38.3,M
7246,henry alexander,95,26.0,M
7247,hermindo,95,63.6,M
7248,ionut alin,95,27.8,M
7249,iurgi,95,27.4,M
7250,jakob,95,38.4,M
7251,javier alexis,95,35.6,M
7252,jesus amador,95,54.1,M
7253,jesus dario,95,36.3,M
7254,jordi alexander,95,14.1,M
7255,jorel,95,6.0,M
7256,jorge federico,95,45.6,M
7257,jose celso,95,59.1,M
7258,jose maximino,95,63.1,M
7259,kenneth john,95,69.4,M
7260,kevin alexis,95,18.7,M
7261,lenin,95,32.9,M
7262,lucas sebastian,95,19.8,M
7263,lucilo,95,69.2,M
7264,manuel israel,95,39.2,M
7265,matias antonio,95,42.8,M
7266,mukhtar,95,45.9,M
7267,ognyan,95,41.8,M
7268,pedro gregorio,95,58.4,M
7269,raed,95,18.3,M
7270,roberto jorge,95,49.4,M
7271,rodrigo miguel,95,25.3,M
7272,ruben andres,95,30.7,M
7273,samuel alexander,95,15.2,M
7274,sebastian nicolas,95,21.2,M
7275,simon jose,95,39.8,M
7276,surjit,95,41.3,M
7277,talha,95,14.9,M
7278,teodoro jose,95,51.2,M
7279,tomas maria,95,45.9,M
7280,victor augusto,95,39.3,M
7281,vijay,95,40.5,M
7282,xurde,95,12.8,M
7283,yevgeniy,95,40.7,M
7284,yongjun,95,41.1,M
7285,yuxiang,95,14.5,M
7286,zoe,95,16.8,M
7287,abdelwahid,94,36.6,M
7288,alberto julian,94,44.1,M
7289,alfredo vicente,94,52.7,M
7290,angel isidro,94,54.4,M
7291,angel samuel,94,26.3,M
7292,argentino,94,70.3,M
7293,billy,94,29.7,M
7294,chouaib,94,26.9,M
7295,christopher alexander,94,17.3,M
7296,cristian felipe,94,23.9,M
7297,cristian nicolae,94,34.6,M
7298,darien,94,16.1,M
7299,david agustin,94,32.7,M
7300,david steven,94,25.3,M
7301,diego ricardo,94,34.0,M
7302,eduardo salvador,94,46.4,M
7303,ehedey,94,15.8,M
7304,esteban alejandro,94,32.4,M
7305,fadel,94,33.0,M
7306,gerd,94,64.6,M
7307,gocha,94,46.1,M
7308,gueorgui,94,46.1,M
7309,gustavo luis,94,48.0,M
7310,hadrian,94,19.8,M
7311,javier domingo,94,43.1,M
7312,johan steven,94,19.2,M
7313,jose arsenio,94,57.4,M
7314,jose wilson,94,46.9,M
7315,juan cristian,94,29.8,M
7316,julian camilo,94,23.9,M
7317,keba,94,35.1,M
7318,kilian jesus,94,20.8,M
7319,martin enrique,94,43.8,M
7320,nicholas james,94,44.5,M
7321,nicolae florin,94,35.2,M
7322,nicolas sebastian,94,24.9,M
7323,nur,94,17.0,M
7324,oscar ricardo,94,42.2,M
7325,pedro eloy,94,48.9,M
7326,ramon daniel,94,42.1,M
7327,robert marian,94,23.1,M
7328,robert mihai,94,20.0,M
7329,rommel,94,34.8,M
7330,sunny,94,34.0,M
7331,svetlin,94,37.3,M
7332,tayyab,94,24.6,M
7333,thorsten,94,49.2,M
7334,tornike,94,24.1,M
7335,torsten,94,49.6,M
7336,verisimo,94,67.5,M
7337,victor pablo,94,42.8,M
7338,wen,94,36.6,M
7339,abubacarr,93,25.9,M
7340,adi,93,28.2,M
7341,alvaro carlos,93,36.1,M
7342,andres alexander,93,20.3,M
7343,andres salvador,93,45.7,M
7344,aridany,93,30.9,M
7345,bouarfa,93,52.1,M
7346,bryan daniel,93,18.8,M
7347,cristian alexis,93,25.9,M
7348,cristian marcelo,93,36.4,M
7349,darwin javier,93,32.7,M
7350,david josue,93,24.2,M
7351,david mihai,93,7.0,M
7352,efigenio,93,68.8,M
7353,florin vasile,93,35.4,M
7354,gabi,93,25.5,M
7355,gennady,93,55.4,M
7356,georgii,93,23.1,M
7357,gian carlo,93,29.6,M
7358,glenn,93,39.2,M
7359,gonzaga,93,25.2,M
7360,gregorio angel,93,56.0,M
7361,guillermo alfonso,93,42.9,M
7362,jamal eddine,93,40.4,M
7363,james joseph,93,57.2,M
7364,javier jorge,93,44.4,M
7365,joel andres,93,20.9,M
7366,johan alexander,93,19.8,M
7367,m hammed,93,46.9,M
7368,manuel ramiro,93,57.0,M
7369,manuel sergio,93,49.4,M
7370,mauricio alberto,93,42.6,M
7371,mencey,93,14.6,M
7372,mihai catalin,93,30.6,M
7373,nicolae cristian,93,34.8,M
7374,nicolae marius,93,37.5,M
7375,pedro diego,93,45.1,M
7376,pedro matias,93,46.8,M
7377,pedro nel,93,52.2,M
7378,procopio,93,70.4,M
7379,ramon agustin,93,54.8,M
7380,richard paul,93,45.4,M
7381,santiago pablo,93,46.4,M
7382,sergio alfonso,93,35.7,M
7383,sinforoso,93,67.6,M
7384,steven alexander,93,17.6,M
7385,timothy john,93,54.1,M
7386,vicente jaime,93,55.6,M
7387,vicente ricardo,93,53.0,M
7388,william jesus,93,43.2,M
7389,wilson eduardo,93,41.3,M
7390,wladimir,93,40.7,M
7391,xose luis,93,53.4,M
7392,abderrahaman,92,48.0,M
7393,absalon,92,25.8,M
7394,adolfo miguel,92,49.6,M
7395,adrian alexandru,92,25.8,M
7396,ali salem,92,35.3,M
7397,antonio simon,92,49.0,M
7398,asel,92,24.0,M
7399,bieito,92,23.4,M
7400,bruno antonio,92,35.8,M
7401,cai,92,14.7,M
7402,carl,92,46.3,M
7403,carlos isaac,92,31.9,M
7404,carlos pascual,92,49.2,M
7405,carlos ramiro,92,46.2,M
7406,constantin cosmin,92,29.6,M
7407,constantin gabriel,92,33.4,M
7408,dalmau,92,22.4,M
7409,david emilio,92,36.3,M
7410,david thomas,92,52.0,M
7411,eduardo emilio,92,51.1,M
7412,eduardo santiago,92,43.6,M
7413,erik alexander,92,14.6,M
7414,gheorghe cristian,92,36.7,M
7415,gunther,92,57.6,M
7416,humberto antonio,92,47.5,M
7417,insa,92,33.9,M
7418,jacinto antonio,92,54.5,M
7419,javier sebastian,92,33.4,M
7420,jeronimo manuel,92,43.9,M
7421,joaquin pablo,92,49.5,M
7422,jose valeriano,92,55.5,M
7423,juan gaspar,92,48.1,M
7424,juvencio,92,62.8,M
7425,kevin santiago,92,18.0,M
7426,marcos vinicius,92,23.6,M
7427,marius mihai,92,33.9,M
7428,matias andres,92,23.9,M
7429,mbacke,92,42.7,M
7430,michael andrew,92,45.4,M
7431,miguel jaime,92,48.2,M
7432,mor talla,92,37.8,M
7433,nabeel,92,27.9,M
7434,nelson andres,92,30.8,M
7435,nestor antonio,92,38.7,M
7436,niceforo,92,73.2,M
7437,ouail,92,21.5,M
7438,pablo alfredo,92,43.3,M
7439,pedro lucas,92,31.5,M
7440,ramon salvador,92,54.4,M
7441,ricardo carlos,92,48.8,M
7442,robert charles,92,64.3,M
7443,roberto martin,92,42.5,M
7444,saleem,92,40.7,M
7445,tasawar,92,36.3,M
7446,victor ricardo,92,44.7,M
7447,wilfried,92,61.3,M
7448,xanti,92,31.6,M
7449,yero,92,37.6,M
7450,yixuan,92,8.7,M
7451,youssouph,92,33.6,M
7452,alfonso andres,91,46.0,M
7453,alfonso tomas,91,49.3,M
7454,alin gabriel,91,25.1,M
7455,andres eloy,91,36.2,M
7456,antonio jacinto,91,53.3,M
7457,argemiro,91,62.8,M
7458,armengol,91,59.0,M
