,name,number,average_age,sex
207,julen,12956,16.2,M
208,jacinto,12949,62.3,M
209,roman,12850,45.4,M
210,ferran,12836,29.1,M
211,eusebio,12835,63.3,M
212,gustavo,12742,42.5,M
213,jose juan,12598,49.5,M
214,luis fernando,12592,47.2,M
215,manuel angel,12550,49.1,M
216,victoriano,12417,64.5,M
217,damian,12255,40.3,M
218,luis manuel,12228,45.0,M
219,leonardo,12108,39.8,M
220,carlos javier,12076,41.7,M
221,yeray,11997,16.8,M
222,rachid,11976,39.3,M
223,isidoro,11761,62.1,M
224,enric,11686,41.8,M
225,pedro luis,11652,50.2,M
226,enzo,11588,4.6,M
227,jan,11561,12.6,M
228,juan bautista,11557,57.6,M
229,armando,11530,52.5,M
230,jose david,11512,32.9,M
231,blas,11413,58.1,M
232,teodoro,11286,65.1,M
233,dionisio,11198,63.8,M
234,santos,11048,60.0,M
235,gines,11039,53.1,M
236,candido,11005,63.3,M
237,justo,10967,62.6,M
238,jose joaquin,10940,49.3,M
239,eduard,10857,34.6,M
240,florencio,10812,65.6,M
241,ali,10798,34.7,M
242,juan maria,10712,53.9,M
243,eneko,10576,19.4,M
244,jairo,10566,22.2,M
245,francisco antonio,10271,47.4,M
246,edgar,10206,23.8,M
247,emiliano,10159,62.4,M
248,ian,10121,10.9,M
249,julio cesar,10087,44.6,M
250,mustapha,9978,42.5,M
251,emilio jose,9953,38.7,M
252,serafin,9869,61.4,M
253,jose andres,9851,46.5,M
254,luis antonio,9705,50.2,M
255,maximo,9702,54.0,M
256,biel,9697,8.3,M
257,jesus angel,9669,48.8,M
258,faustino,9612,64.2,M
259,simon,9550,40.2,M
260,luis angel,9549,47.8,M
261,luis maria,9450,56.5,M
262,nil,9307,10.3,M
263,fidel,9266,58.6,M
264,igor,9161,36.3,M
265,ramiro,9134,57.7,M
266,jacobo,9128,28.7,M
267,alexis,9087,26.1,M
268,claudio,9053,53.5,M
269,amador,9027,59.9,M
270,ezequiel,8894,34.5,M
271,alexandre,8832,30.1,M
272,manuel antonio,8767,50.1,M
273,francisco miguel,8749,43.5,M
274,rogelio,8690,60.4,M
275,pedro manuel,8623,46.0,M
276,andreu,8511,30.4,M
277,hassan,8495,42.1,M
278,yago,8489,13.6,M
279,ion,8461,41.4,M
280,luciano,8432,60.7,M
281,jose fernando,8317,49.8,M
282,juan diego,8304,33.9,M
283,luca,8208,12.6,M
284,juan dios,8202,50.3,M
285,jose daniel,8168,36.5,M
286,joaquim,8146,50.8,M
287,ildefonso,8045,59.1,M
288,juan vicente,7977,50.6,M
289,modesto,7962,64.1,M
290,jorge luis,7940,42.7,M
291,carlos manuel,7907,43.2,M
292,ibai,7894,14.4,M
293,manuel jose,7879,49.7,M
294,dylan,7873,4.9,M
295,juan andres,7838,45.0,M
296,florentino,7826,66.1,M
297,antonio javier,7822,41.1,M
298,mauro,7803,20.6,M
299,leandro,7763,48.8,M
300,antonio miguel,7725,45.3,M
301,cayetano,7653,44.0,M
302,muhammad,7653,34.8,M
303,gael,7645,5.5,M
304,antonio luis,7584,47.9,M
305,luis javier,7580,46.6,M
306,iago,7567,16.4,M
307,aritz,7544,19.7,M
308,josue,7542,26.9,M
309,paulino,7471,63.7,M
310,luis carlos,7401,47.0,M
311,aimar,7373,10.1,M
312,constantino,7344,61.0,M
313,pedro jesus,7325,42.7,M
314,pedro maria,7307,58.6,M
315,rayan,7307,6.2,M
316,eladio,7251,63.1,M
317,fabian,7249,34.9,M
318,avelino,7237,65.0,M
319,khalid,7234,36.5,M
320,celestino,7216,64.4,M
321,nestor,7136,31.3,M
322,manel,7128,33.2,M
323,saturnino,7027,67.6,M
324,francesc xavier,6969,48.7,M
325,juan angel,6958,49.0,M
326,angel manuel,6918,44.6,M
327,robert,6907,38.0,M
328,vasile,6895,45.6,M
329,gheorghe,6807,48.4,M
330,hamza,6793,18.7,M
331,rufino,6793,65.8,M
332,abdellah,6785,40.4,M
333,ayoub,6748,15.0,M
334,imanol,6738,30.8,M
335,markel,6646,11.6,M
336,alan,6589,18.5,M
337,bilal,6536,17.5,M
338,gaspar,6531,56.8,M
339,marcelo,6521,45.7,M
340,oier,6469,13.8,M
341,ricard,6440,38.4,M
342,thiago,6413,4.8,M
343,fabio,6395,23.3,M
344,hicham,6380,33.4,M
345,andoni,6306,31.5,M
346,abdelkader,6272,46.8,M
347,brais,6271,15.5,M
348,clemente,6261,60.8,M
349,basilio,6173,60.7,M
350,josu,6119,33.1,M
351,raimundo,6118,60.5,M
352,juan alberto,6114,42.5,M
353,bernat,6060,23.3,M
354,fernando jose,6028,43.6,M
355,ioan,6026,47.8,M
356,jesus antonio,6019,50.7,M
357,feliciano,5998,65.5,M
358,luis enrique,5966,42.7,M
359,hilario,5920,63.8,M
360,brahim,5909,37.8,M
361,angel maria,5881,55.0,M
362,roberto carlos,5880,36.8,M
363,didac,5839,17.9,M
364,joseba,5809,35.6,M
365,evaristo,5742,62.5,M
366,marcel,5733,29.8,M
367,marcial,5658,60.6,M
368,noel,5638,20.1,M
369,eliseo,5562,60.7,M
370,laureano,5529,62.5,M
371,pedro pablo,5514,47.5,M
372,ibrahim,5467,20.0,M
373,abdelaziz,5457,43.4,M
374,patricio,5445,53.5,M
375,narciso,5433,62.2,M
376,anton,5419,23.9,M
377,antonio francisco,5390,47.2,M
378,benigno,5327,65.6,M
379,anas,5321,10.7,M
380,francisco luis,5315,49.2,M
381,bernardino,5293,63.1,M
382,cecilio,5254,62.3,M
383,mauricio,5219,47.2,M
384,adan,5201,21.2,M
385,segundo,5194,67.4,M
386,constantin,5179,45.6,M
387,juan david,5178,25.6,M
388,leopoldo,5164,58.5,M
389,pedro javier,5118,40.7,M
390,camilo,5102,54.5,M
391,abderrahim,5065,38.6,M
392,brian,5042,24.0,M
393,manuel alejandro,5039,31.9,M
394,yassine,5023,22.7,M
395,karim,5020,28.8,M
396,michael,5016,35.5,M
397,marian,4974,41.2,M
398,valeriano,4972,64.1,M
399,alain,4923,22.6,M
400,carlos jose,4900,43.7,M
401,demetrio,4897,64.4,M
402,hamid,4892,41.4,M
403,roque,4873,46.3,M
404,cesareo,4856,64.4,M
405,pelayo,4816,20.9,M
406,pedro miguel,4812,46.5,M
407,francisco borja,4709,37.4,M
408,jose gabriel,4707,43.3,M
409,octavio,4669,53.1,M
410,rodolfo,4645,56.3,M
411,axel,4641,12.9,M
412,max,4624,10.3,M
413,jose felix,4610,51.7,M
414,francisco asis,4578,45.6,M
415,jesus miguel,4539,45.6,M
416,jose pedro,4531,49.6,M
417,cipriano,4530,66.1,M
418,florin,4526,38.1,M
419,anastasio,4519,67.8,M
420,bernabe,4517,55.8,M
421,bienvenido,4508,62.0,M
422,jose rafael,4478,49.5,M
423,lucio,4475,64.0,M
424,lazaro,4469,54.2,M
425,nicolae,4465,44.5,M
426,luis francisco,4442,46.2,M
427,denis,4435,20.4,M
428,eloi,4429,18.8,M
429,manuel francisco,4421,50.5,M
430,baltasar,4412,59.5,M
431,anselmo,4400,62.6,M
432,paul,4385,33.3,M
433,abdeslam,4344,49.7,M
434,amadeo,4329,61.2,M
435,lluc,4311,10.8,M
436,ignasi,4279,35.1,M
437,mamadou,4276,36.3,M
438,jamal,4271,37.5,M
439,alberto jose,4239,41.9,M
440,juan enrique,4224,47.8,M
441,beñat,4212,17.3,M
442,placido,4204,62.3,M
443,ismail,4197,22.1,M
444,driss,4187,44.6,M
445,eulogio,4181,64.9,M
446,jose domingo,4170,50.4,M
447,jesus javier,4158,46.0,M
448,jose alejandro,4154,35.9,M
449,celso,4152,61.3,M
450,fulgencio,4143,61.4,M
451,zakaria,4124,16.1,M
452,teofilo,4096,68.1,M
453,casimiro,4086,66.2,M
454,pablo jose,4079,36.5,M
455,noah,4068,6.1,M
456,jorge juan,4053,45.7,M
457,aziz,4027,38.2,M
458,anibal,4011,40.8,M
459,victor jose,4006,39.5,M
460,carlos enrique,3968,46.3,M
461,vicent,3965,30.6,M
462,baldomero,3962,61.2,M
463,samir,3930,30.5,M
464,herminio,3928,64.3,M
465,juan gabriel,3926,37.2,M
466,vicente jose,3912,49.5,M
467,alessandro,3903,27.1,M
468,orlando,3899,49.0,M
469,luis alfonso,3898,46.1,M
470,maximino,3889,65.0,M
471,ibon,3888,29.7,M
472,noe,3874,23.2,M
473,juan fernando,3857,46.5,M
474,alexandru,3854,34.2,M
475,gustavo adolfo,3847,42.8,M
476,marcos antonio,3842,41.4,M
477,moussa,3836,34.7,M
478,iban,3808,35.5,M
479,jose pablo,3794,42.9,M
480,teo,3790,6.5,M
481,norberto,3773,53.5,M
482,ayman,3741,9.4,M
483,nabil,3740,25.6,M
484,unax,3739,8.8,M
485,aquilino,3686,63.0,M
486,alejandro jose,3681,31.1,M
487,yassin,3665,15.6,M
488,eduardo jose,3647,41.4,M
489,jose tomas,3639,49.2,M
490,vidal,3632,59.1,M
491,gaizka,3631,26.5,M
492,marino,3624,60.6,M
493,antonio maria,3615,54.2,M
494,adil,3610,30.8,M
495,carlos antonio,3610,44.5,M
496,luis eduardo,3609,39.4,M
497,kilian,3606,14.4,M
498,gumersindo,3605,65.7,M
499,jose jesus,3594,50.9,M
500,marius,3522,35.9,M
501,bonifacio,3520,66.9,M
502,stefan,3513,40.4,M
503,victorino,3490,68.4,M
504,melchor,3485,59.3,M
505,mihai,3468,41.1,M
506,antonio david,3463,28.6,M
507,hipolito,3460,64.9,M
508,miguel antonio,3452,47.7,M
509,younes,3451,23.1,M
510,jose alfonso,3422,50.6,M
511,rosendo,3416,61.2,M
512,jose emilio,3415,52.2,M
513,maximiliano,3410,49.8,M
514,arsenio,3406,64.9,M
515,jose eduardo,3395,47.4,M
516,amir,3389,9.1,M
517,jesus alberto,3372,41.6,M
518,pedro angel,3371,47.5,M
519,virgilio,3354,63.2,M
520,eleuterio,3346,67.3,M
521,aday,3325,12.3,M
522,higinio,3313,64.4,M
523,isaias,3310,45.1,M
524,enrique jose,3293,46.0,M
525,angel jose,3286,48.8,M
526,francisco ramon,3284,49.0,M
527,yoel,3278,12.4,M
528,noureddine,3254,39.7,M
529,augusto,3239,55.8,M
530,alejo,3217,40.0,M
531,anxo,3205,14.4,M
532,liam,3197,5.4,M
533,carlos andres,3189,33.4,M
534,pedro juan,3188,52.2,M
535,jose julian,3174,49.8,M
536,nacho,3154,8.6,M
537,eder,3152,16.7,M
538,andrei,3150,27.8,M
539,urbano,3148,65.9,M
540,mimoun,3147,46.7,M
541,jose raul,3136,42.4,M
542,diego jose,3113,35.5,M
543,jorge manuel,3107,42.1,M
544,lander,3105,21.6,M
545,abelardo,3103,60.0,M
546,roc,3094,9.7,M
547,luis felipe,3090,43.5,M
548,severino,3083,66.8,M
549,bryan,3075,15.2,M
550,arkaitz,3060,29.7,M
551,imran,3055,12.2,M
552,ceferino,3054,65.2,M
553,venancio,3047,65.8,M
554,jose benito,3046,58.9,M
555,beltran,3038,12.3,M
556,juan rafael,3038,47.7,M
557,endika,3034,24.5,M
558,jose agustin,3033,52.5,M
559,manuel maria,3030,53.0,M
560,jorge antonio,3015,42.9,M
561,fernando javier,3004,44.9,M
562,jon ander,3002,29.2,M
563,jose ricardo,3001,49.4,M
564,juan sebastian,2992,31.0,M
565,richard,2973,37.1,M
566,angel antonio,2971,48.1,M
567,giovanni,2971,33.5,M
568,dumitru,2960,46.2,M
569,carlos jesus,2956,41.2,M
570,victor hugo,2948,39.5,M
571,oleksandr,2940,37.9,M
572,luis jose,2934,47.1,M
573,urko,2924,21.9,M
574,inocencio,2899,66.9,M
575,andres felipe,2897,26.4,M
576,yahya,2896,23.6,M
577,genis,2885,21.9,M
578,ibrahima,2864,33.8,M
579,mohammad,2834,41.6,M
580,walid,2824,13.1,M
581,leon,2815,37.4,M
582,cesar augusto,2798,43.0,M
583,mostafa,2795,43.6,M
584,primitivo,2794,68.6,M
585,conrado,2787,58.3,M
586,jacob,2784,29.7,M
